"grant_id","parent_grant_id","grant_name","grant_code","system_block"
1190,649,"Показать список ремонтов где нет определенного шага","OA__ShowGradeStepNotIncludedRemontStep","MySpace"
1191,649,"Добавить шаг в ремонт где нет определенного шага","OA__AddGradeStepNotIncludedRemontStep","MySpace"
1192,649,"Показать список ремонтов где нет определенного условие","OA__ShowGradeStepNotIncludedRemontCondition","MySpace"
1193,649,"Добавить условие в ремонт где нет определенного условие","OA__AddGradeStepNotIncludedRemontCondition","MySpace"
1194,744,"Завяки для гарантии (Действия)","OA__RemontFormGrtRequestAction","MySpace"
1195,1194,"Показать историю собственников квартиры","OA__RemontFormGrtRequestClientHistoryShow","MySpace"
1196,1194,"Получить информацию об заявке на гарантию","OA__RemontFormGrtRequestInfoGet","MySpace"
1197,1194,"Показать историю редактирование статуса заявки на гарантию","OA__RemontFormGrtRequestStatusChronologyShow","MySpace"
1198,1194,"Редактировать статус заявку на гарантию","OA__RemontFormGrtRequestStatusUpdate","MySpace"
1199,1194,"Показать документы от клиента в заявке на гарантию","OA__RemontFormGrtRequestClientDocumentShow","MySpace"
1200,1194,"Удалить документ от клиента из заявки на гарантию","OA__RemontFormGrtRequestDocumentDelete","MySpace"
1202,1194,"Назначить подрядчика в заявке на гарантию","OA__RemontFormGrtRequestContractorSet","MySpace"
1203,1194,"Назначить менеджера ГО в заявке на гарантию","OA__RemontFormGrtRequestManagerSet","MySpace"
1204,1194,"Показать документы дефектного акта в заявке на гарантию","OA__RemontFormGrtRequestDefectDocumentShow","MySpace"
1205,1194,"Показать документы АПП в заявке на гарантию","OA__RemontFormGrtRequestAPPDocumentShow","MySpace"
1206,704,"Старый ДС","OA__RemontFormRemontOldDS","MySpace"
1207,744,"Спецификации (Действия)","OA__RemontFormContractorAgreementAction","MySpace"
1208,1207,"Отменить спецификацию","OA__RemontFormContractorAgreementCancel","MySpace"
1209,1207,"Удалить подпись","OA__RemontFormContractorAgreementDeleteSign","MySpace"
1210,1207,"Создать ДС","OA__RemontFormContractorAgreementEndDSCreate","MySpace"
1211,1207,"Подписать спецификацию","OA__RemontFormContractorAgreementSign","MySpace"
1212,1207,"Добавить спецификацию","OA__RemontFormContractorAgreementAdd","MySpace"
1213,737,"Замеры*","OA__RemontFormNewMeasureBlock","MySpace"
1214,704,"Заявки поставщику","OA__RemontFormProviderRequest","MySpace"
1215,1084,"Изменение суммы ДС на ноль","OA__RemontFormDSSumChange","MySpace"
1216,null,"Список должностей","A__CommonPositionShow","Администрирование"
1217,817,"Принять МП","OA__RemontFormWorkSetCheckGroupCheckDesign","MySpace"
1218,704,"Материалы","OA__RemontFormMaterialTab","MySpace"
1219,1218,"Материалы (Блок)","OA__RemontFormMaterialBlock","MySpace"
1220,704,"Материалы в единицах продажи","OA__RemontFormAdditionTab","MySpace"
1221,1220,"Материалы в единицах продажи (Блок)","OA__RemontFormAdditionBlock","MySpace"
1222,704,"Смета *","OA__RemontFormSebesSmetaTab","MySpace"
1223,1222,"Смета * (Блок)","OA__RemontFormSebesSmetaBlock","MySpace"
1224,704,"Смета по материалам *","OA__RemontFormSebesSmetaWholeTab","MySpace"
1225,1224,"Смета по материалам * (Блок)","OA__RemontFormSebesSmetaWholeBlock","MySpace"
1226,748,"Сменить главного подрядчика","OA__RemontFormResponsibleOfficialUpdateContractorMain","MySpace"
1227,null,"Заявки проектировщиков","OA__TechprojectRequestList","MySpace"
1228,1227,"Показать заявки проектировщиков","OA__TechprojectRequestListShow","MySpace"
1229,704,"Технические особенности","OA__RemontFormTechFeatureTab","MySpace"
1230,1229,"Технические особенности (Блок)","OA__RemontFormTechFeatureBlock","MySpace"
1231,744,"Технические особенности (Действия)","OA__RemontFormTechFeatureAction","MySpace"
1232,1231,"Редактировать техническую особенность","OA__RemontFormTechFeatureUpdate","MySpace"
1233,640,"Редактировать планирование материалов поставщиком","PR__ShowShippingPlan","Модуль для поставщиков"
1234,289,"Передача ключей","P__ShowKeyReceive","Модуль для подрядчиков"
1235,null," Финансы                          ","Финансы","Smart Remont"
1236,null," Материалы                        ","Материалы","Smart Remont"
1237,null," Поставщики                       ","Поставщики","Smart Remont"
1238,null," Дубликаты                        ","Дубликаты","Smart Remont"
1239,null," Проекты                          ","Проекты","Smart Remont"
1240,null," Акции                            ","Акции","Smart Remont"
1241,null," Гарантия                         ","Гарантия","Smart Remont"
1242,null," Услуги                           ","Услуги","Smart Remont"
1243,null," Администрирование                ","Администрирование","Smart Remont"
1244,null," Склады                           ","Склады","Smart Remont"
1245,null," Комнаты                          ","Комнаты","Smart Remont"
1246,null," Скрипты                          ","Скрипты","Smart Remont"
1247,null," Авторизация                      ","Авторизация","Smart Remont"
1248,null," Дефекты                          ","Дефекты","Smart Remont"
1249,null," Отчеты                           ","Отчеты","Smart Remont"
1250,null," Ревит                            ","Ревит","Smart Remont"
1251,null," Конструктивы                     ","Конструктивы","Smart Remont"
1252,null," ГПР                              ","ГПР","Smart Remont"
1253,null," Ремонт                           ","Ремонт","Smart Remont"
1254,null," Клиенты                          ","Клиенты","Smart Remont"
1255,null," Смета                            ","Смета","Smart Remont"
1256,null," Планировки                       ","Планировки","Smart Remont"
1257,null," Подряды                          ","Подряды","Smart Remont"
1258,null," Документы                        ","Документы","Smart Remont"
1259,null," Параметры                        ","Параметры","Smart Remont"
1260,null," CRM                              ","CRM","Smart Remont"
1261,null," Аналитика                        ","Аналитика","Smart Remont"
1262,null," Настройки ОР                     ","Настройки ОР","Smart Remont"
1263,null," BI                               ","BI","Smart Remont"
1264,null," Сервисы                          ","Сервисы","Smart Remont"
1265,null," ДДУ                              ","ДДУ","Smart Remont"
1266,null," Активности                       ","Активности","Smart Remont"
1274,1253,"Присвоение юр даты старта СМР","assign_jur_remont_begin_date_to_smr_start","Smart Remont"
1276,1084,"Изменение суммы ДС","OA__RemontFormDSSumChangeToAny","MySpace"
1277,299,"Ремонты с юр датами по дате перехода на гарантию","P__ReportJurDateWarrantyShow","Модуль для подрядчиков"
1278,337,"Выгрузка отчета руководителей","P__MNGReportExcel","Модуль для подрядчиков"
1279,1236,"Настройка свойств материала","material_prop","Smart Remont"
1280,1257,"Изменение этапов без полной оплаты(remont_id)","uncheck_remont_pay_check","Smart Remont"
1281,566,"Доступ к ремонтам для подрядчика","P__AccessToRemontForContractor","Модуль для подрядчиков"
1282,566,"Доступ к ремонтам для главного подрядчика","P__AccessToRemontForGeneralContractor","Модуль для подрядчиков"
1283,1256,"Радактирование распознание планировок","upd_flat_image_resident","Smart Remont"
1284,592,"Удаление вызова ОКК в партнер","manual__delete_check_group_call_item","Smart Remont"
1285,1236,"material_category","material_category","Smart Remont"
1287,1236,"Добавление доп фото материала ","material_photo_upd","Smart Remont"
1288,289,"P__ShowRemontCheckList","P__ShowRemontCheckList","Модуль для подрядчиков"
1290,288,"Вкладки","P__RemontInfoTabulation","Модуль для подрядчиков"
1291,1290,"Документы","P__RemontInfoDocumentTab","Модуль для подрядчиков"
1292,1290,"Чек листы","P__RemontInfoCheckListTab","Модуль для подрядчиков"
1293,1290,"Доп. работы","P__RemontInfoAdditionalWorkTab","Модуль для подрядчиков"
1294,1290,"Чат","P__RemontInfoChatTab","Модуль для подрядчиков"
1295,1290,"Расхождения по смете","P__RemontInfoSmetaDiscrepancyTab","Модуль для подрядчиков"
1296,1290,"Передача ключей","P__RemontInfoKeyTab","Модуль для подрядчиков"
1297,1290,"История отгрузки материалов","P__RemontInfoMaterialShipHistoryTab","Модуль для подрядчиков"
1298,1290,"Материалы сметы","P__RemontInfoMaterialSmetaTab","Модуль для подрядчиков"
1299,1290,"Текстовый конструктор","P__RemontInfoTKTab","Модуль для подрядчиков"
